"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","","","1835","","SectionConstructorTest","","SectionConstructorTest","","checkGoingToSectionSouses",""
"passed","","","1808","","SectionConstructorTest","","SectionConstructorTest","","checkGoingToSectionToppings",""
"passed","","","4947","","LoginTest","","LoginTest","","checkLoginWithCorrectData",""
"passed","","","2466","","LoginTest","","LoginTest","","checkLoginWithCorrectDataUsingButtonAtMainPage",""
"passed","","","2808","","LoginTest","","LoginTest","","checkLoginWithCorrectDataUsingLoginLinkAtRegisterPage",""
"passed","","","7964","","GoToConstructorFromUserProfilePageTest","","GoToConstructorFromUserProfilePageTest","","checkGoToConstructorByLink",""
"passed","","","12865","","LoginTest","","LoginTest","","checkLoginWithIncorrectData",""
"passed","","","3396","","GoToConstructorFromUserProfilePageTest","","GoToConstructorFromUserProfilePageTest","","checkGoToConstructorByLogo",""
"passed","","","1784","","RegisterTest","","RegisterTest","","checkRegisterWithIncorrectPassword",""
"passed","","","2964","","GoToUserProfileTest","","GoToUserProfileTest","","checkGoToUserProfilePageByLinkAtHeader",""
"passed","","","3148","","LoginTest","","LoginTest","","checkLoginWithCorrectDataUsingLoginLinkAtForgotPasswordPage",""
"passed","","","2271","","LoginTest","","LoginTest","","checkLoginWithCorrectDataUsingUserProfileLinkAtMainPage",""
"passed","","","1879","","SectionConstructorTest","","SectionConstructorTest","","checkGoingToSectionBuns",""
"passed","","","2060","","RegisterTest","","RegisterTest","","checkRegisterWithCorrectData",""
"passed","","","2971","","LogoutTest","","LogoutTest","","checkLogoutUsingUserProfilePage",""
